Title,Link,Description,Publish Date,Duration
Looking for love in all the wrong places? Love panel guests share tips for healing your dating life.,https://youtu.be/Naw5tyef16w,"Dr. Toy hosts a relationship and dating panel featuring a licensed therapist/professor (Jessica Gurley) and University of Pittsburgh college students (Jackson and Hannah). They break down the modern 'talking stage,' 'situationships,' identifying red flags, exploring personal childhood attachment styles, and overcoming loneliness through community.",2026-02-11,01:01:04
Healing Finances Through Basic Financial Literacy,https://youtu.be/owr84NiBzkM,"Dr. Toy sits down with financial coach and business owner Tyler Culverson in her new studio. They unpack the realities of breaking generational financial trauma, shifting out of a 'poverty mindset,' the critical steps to starting an achievable budget, understanding credit card utilization, and how to use basic banking tools (like high-yield accounts and CDs) to build personal leverage.",2025-12-08,01:09:17
Healing on the Health and Wellness Journey,https://youtu.be/IgWVHno-Vxw,"Dr. Toy interviews exercise physiologist, nutritionist, and wellness coach Dr. Camille Clark Smith (founder of THAW). Dr. Camille shares her personal journey of transitioning from Jamaica and overcoming obesity (reaching 280 lbs). The episode dives into the science of stress and cortisol, emotional eating, and why tiny, sustainable adjustments like strength training, hydration, and a 2-hour pre-bedtime fasting window beat extreme fad diets.",2025-11-19,00:50:06
How to Avoid the News Blues!,https://youtu.be/-XIk9ZDZdwA,"A solo episode where Dr. Toy tackles 'news anxiety' and doom-scrolling. She explains how constant exposure to negative media overloads our autonomic nervous system and triggers a chronic fight-or-flight state. She provides practical coping strategies, a guide on running a 'news diet,' and structural tips on how parents can talk to children about terrifying current events without amplifying their fear.",2025-10-07,00:35:14
What a social worker really is and what it really isn’t,https://youtu.be/OXwp6xwkG0w,"Dr. Toy welcomes her friend and MSW program director, Dr. Yodit Betru, to discuss her book Becoming a Social Worker For Dummies. Dr. Yodit shares her origin story as a political refugee from Ethiopia and addresses massive myths about the profession—such as the 'vow of poverty' and child removal fears. They explore the flexibility of social work versus psychology, specialized niche opportunities, and macro-level interventions.",2025-03-31,00:54:59
Building Immunity to Compassion Fatigue,https://youtu.be/WRcaQlBYuQ0,"Dr. Toy interviews evidence-based compassion fatigue expert Sharice Nance, LCSW. Sharice openly shares her early failure with the licensing exam and how she pushed past testing anxiety to build a thriving private practice. She maps out the 'compassion stress cycle'—tracing the stages from secondary trauma and vicarious trauma down to compassion fatigue and full burnout. They discuss individual self-soothing, systemic capacity building, and organizational responsibility.",2025-03-12,00:52:09
Finding Happiness and Healing After a Breakup Through Music and Journaling With Zora Borde-Perry,https://youtu.be/Fq4bw_I4yPg,"Dr. Toy sits down with a creative University of Pittsburgh student, Zora Borde-Perry, author of the music-guided journal Reflections in Rhythm. Zora explains how she self-published her work via Amazon KDP in just over two weeks following a painful 5-year breakup. They break down the therapeutic benefits of analyzing songs like Reason by Omah Lay, Bag Lady by Erykah Badu, and Cranes in the Sky by Solange to safely unpack emotional baggage.",2025-02-20,00:38:33
Autism Spectrum Disorder (ASD) is Explored Through a Mother's Eyes,https://youtu.be/VTKhSp1J6zE,"Dr. Toy interviews AJ Jefferson, the CEO of the Homeless Children's Education Fund. AJ shares a deeply moving, transparent look at her personal 19-year journey raising her son, Caleb, who is diagnosed with Autism Spectrum Disorder (ASD). She opens up about the initial heartbreak and parental guilt upon diagnosis, navigating the public school IEP (Individualized Education Program) system across different states, and the power of letting your child unapologetically be who they are.",2025-02-03,00:39:10
Healing the Community with Fr Paul Abernathy,https://youtu.be/bMM2yqfItIs,"Dr. Toy sits down with Father Paul Abernathy, an Orthodox Christian priest and Iraq War veteran who leads the Neighborhood Resilience Project in Pittsburgh's Hill District. Father Paul explains why he witnessed more chronic trauma on local streets than he ever did deployed in a military war zone. He introduces his groundbreaking 'Trauma-Informed Community Development' framework, operating mobile trauma response RV units on active shooting scenes, and leveraging communal love over traditional clinical models.",2025-01-15,00:53:34
Breath and Imagination: How to use your imagination to bring joy in times of distress,https://youtu.be/Wk8aVUeH20M,"Dr. Toy welcomes back social worker, speaker, and comedy performer Andrea Flack Weatherald. Recording remotely during a Pittsburgh snowstorm, they discuss her 'mindful improv thinking' framework. Andrea explains how our attention is commoditized by push notifications and media, and outlines how tools like 'Box Breathing,' EFT Tapping paired with 'Yes, And' statements, and intentional 'joyful imagination' can override severe doom-scrolling and internal anxiety.",2024-12-05,00:54:32
Ask a Therapist: Questions Answered!,https://youtu.be/fnJzd5MyulM,"In this solo Q&A segment, Dr. Toy addresses two sensitive user-submitted inquiries about deep trauma. She references Bessel van der Kolk’s The Body Keeps the Score to explain how unresolved trauma traps cortisol and adrenaline in the physical body, generating somatic illnesses like fibromyalgia and chronic pain. Dr. Toy provides an extensive breakdown of therapeutic pathways, including EMDR, trauma-informed yoga, group talk therapy, art/music therapy, interplay movement, and ancestral drumming.",2024-10-16,00:36:59
Illuminating the Vaccine for Racism,https://youtu.be/KhIoZ7VJpPQ,"Dr. Toy interviews Ron Idoko, the Associate Director of the Center on Race and Social Problems (CRSP) at the University of Pittsburgh. Ron shares his background as a Bronx-born child of Nigerian immigrants, a former Pitt football player, and his global presentations at the United Nations in Geneva. He introduces his 'Race Equity Consciousness Institute' (RECI) and frames systemic racism as a social virus, utilizing structured cognitive behavioral training (SCBT) to inoculate against implicit bias.",2024-10-01,00:56:59
Just Heal Bro -Healing Mental Health in Men with Lamman Rucker,https://youtu.be/mv0DM4n9xEY,"Dr. Toy hosts celebrated television and film actor Lamman Rucker (Greenleaf, Meet the Browns, The Temptations) to discuss black men's mental health. Lamman breaks down the stigma, silent suffering, and rigid hyper-masculinity that bars men from processing vulnerability. He details his national work with Dr. Jay Barnett on the 'Just Heal Bro' tour—advocating for the normalization of therapy, the emotional restructuring of manhood, and innovative clinical concepts like barber shop wellness lounges.",2024-06-19,00:37:11
Healing after a homicide with Valerie Dixon,https://youtu.be/g8zd5h4x4CI,"Dr. Toy welcomes back her close friend, activist, and Center for Victims director Valerie Dixon. Valerie shares the tragic 2001 shooting death of her only son, Robbie, a collegiate football superstar on the cusp of an NFL tryout. Valerie maps out how she channeled her overwhelming grief into launching the PACT Initiative (Prevent Another Crime Today), using unresolved homicide billboard campaigns. She demonstrates the Japanese art of Kintsugi—mending broken pottery with golden glue—as a safe, visual tool to celebrate personal structural scars.",2024-06-06,00:36:45
Healing Overflow with Dr. Toy - Repairing Brokenness,https://youtu.be/x2dkQlxxE04,"In this foundational debut episode of her series, Dr. Toy introduces the core philosophy behind her 'classroom outside the classroom' talk show. Reviewing Sean Glover's clinical article How to Recover When Life Crushes You, she warns against rushing out of psychological injuries too quickly. Using the metaphor of a catastrophic car wreck, she urges viewers to give themselves permission to 'stay down' during acute distress to safely triage emotional blockages instead of forcing a superficial bounce-back.",2024-05-09,00:17:21
How to find a therapist right for you or your loved one!,https://youtu.be/KC_MC6NbeOo,"Dr. Toy hosts a strategic, instructional guide on matching personal mental health needs to proper clinical care. She breaks down the technical differences between psychologists (Ph.D./Psy.D. clinicians), psychiatrists (M.D. medication specialists), social workers (LCSW system-oriented providers), and professional counselors (LPCs). She details non-negotiables for identifying cultural alignment, navigating insurance directories, screening waiting lists, and understanding ethical confidentiality barriers.",2024-04-25,00:45:16
Homelessness is our Business!,https://youtu.be/ULq9TH_aeRg,"Dr. Toy sit downs with Tamiko Dawkins, the Director of Programs at Light of Life Rescue Mission and an Army veteran. Tamiko debunks institutionalized myths regarding the unhoused population, stressing that highly educated corporate professionals like doctors, lawyers, and teachers frequently collapse onto the street due to catastrophic medical co-pays, eviction records, and structural system voids. They discuss encampment outreach strategies, localized safety failures, and the massive data point mapping out high homelessness rates inside the queer/transgender communities.",2024-04-11,00:42:43
"Anxiety, ugh!",https://youtu.be/4POlX2yD_e4,"Dr. Toy focuses on diagnosing, normalizing, and treating Generalized Anxiety Disorder (GAD) and severe acute panic attacks. Reviewing criteria out of the DSM-5, she maps out how underlying panic activates primitive fight-or-flight stress responses in the body, generating severe somatic physical pain like constant digestive illnesses and migraines. Using water and a University of Pittsburgh cup as a visual threshold prop, she demonstrates actionable self-regulating habits, including her signature 'Feel Better Bag' art intervention, muscle progressive relaxation, and tactical cognitive behavioral therapy (CBT).",2024-03-27,00:37:54
Helping others to heal through poverty and neglect in the child protective services,https://youtu.be/cpVxgCCPqRc,"Dr. Toy welcomes Dr. Rachel Armstead (Assistant Administrator of Beaver County Children and Youth Services) to break down structural disparities inside child welfare. Dr. Rachel draws on her 26 years of experience to discuss 'situational' vs. 'generational' poverty. She provides actionable, asset-based framing tips for case managers—warning against viewing low-income family behaviors through biased middle-class lenses—and handles an audience question on classroom trauma triggers.",2024-02-01,00:46:50
Overcoming Imposter Syndrome for Good!,https://youtu.be/DO8g0YB2QGE,"Dr. Toy interviews LaQuente 'Coach Q' Brenson, an ICF-certified executive coach with a background in biology and psychology. Coach Q shares her personal battle with 'imposter experience' while presenting neurology research at Emory School of Medicine. She outlines how to distinguish your true self from an inner imposter voice, avoid 'emotional hijacking' by tracking childhood anxieties, reject the hazards of the 'fake it till you make it' mantra, and show up unapologetically whole in every space.",2024-01-18,00:48:21
Art Therapy and How to Heal Through Creativity,https://youtu.be/4FhFIUwxwUg,"Dr. Toy hosts a 'Dream Team' panel of art therapists—Megan Cook, Patty Grael, and Angelica Joy Gannon. Angelica breaks down her specialized clinical work at Jewish Family and Community Services helping survivors process trauma following the 2018 Pittsburgh synagogue shooting. They explore neuroesthetics (how the brain's pleasure center lights up when experiencing art) and conduct a live, in-studio demonstration of a bilateral 'guided drawing' somatic exercise to relieve heavy anxiety.",2023-12-14,00:52:33
Ask a Therapist Questions are Answered!,https://youtu.be/BFCgS4InEK0,"A solo Q&A episode where Dr. Toy fields listener emails. She breaks down the boundaries required to shield against manipulative family guilt-tripping, helps a second-year Pitt student unpack why a classroom lecture on domestic violence triggered a severe 'flight' response, and provides straight-talk coaching on how to navigate the painful reality of being 'ghosted' in a toxic relationship.",2023-11-30,00:26:40
Happy Holidays?,https://youtu.be/ZBVC3XPXGD8,"Dr. Toy delivers over 20 survival tips to protect your mental health during the volatile holiday season. She gives practical methods on mapping out escape plans from dysfunctional families, preparing scripts to halt intrusive body-shaming or personal questions, avoiding 'sinking quicksand conversations' regarding politics, and tips on honorably mourning lost loved ones through shared storytelling.",2023-11-16,00:34:18
Are you SAD? Overcoming Seasonal Affective Disorder,https://youtu.be/VXB8QxW5sdw,"Dr. Toy navigates the clinical criteria, symptoms, and biology of Seasonal Affective Disorder (SAD). She covers the disruption of the body's natural circadian rhythm due to dark winter months, how brown eyes absorb light differently, the dangerous traps of self-medicating with alcohol (a natural depressant), and how to build pre-emptive immunity using artificial light boxes, vitamin D, and targeted exercise.",2023-11-02,00:18:40
